run_id,experiment_id,metrics.test_accuracy,metrics.val_accuracy,params.dataset_name,params.runtime_model_tuning,params.series_length,params.runtime_actual_seconds,params.num_channels,params.runtime_best_model_training,params.num_classes,params.num_instances,params.num_epochs,params.num_models_estimated
79eea8080cb6481d862fd6e033f0dd73,11,0.9982110857963562,0.9972066879272461,ALFA,117,40,282,12,165,2,2792,30,6
61bba09eefdb4f37a443c51405e36f63,11,0.9428571462631226,0.9076923131942749,U-Boot,201,180,266,16,65,5,975,30,6
a9981c4e8a4e4ac884d8c9602e7830af,11,0.8204545378684998,0.8141469955444336,FordA,117,500,307,1,190,2,3601,30,4
9f6ee887a309488ca89bd16b9c1b2be3,11,0.7555555701255798,0.9038461446762085,FordB,599,500,1961,1,1362,2,3636,30,4
6767d7ac473e49c1b6bd604b5136cda4,11,0.9928443431854248,0.9972066879272461,ALFA,25,40,60,12,35,2,2792,30,4
9b6f516f2f084092acdce8d1d8789b51,11,0.3306122422218323,0.3282051384449005,U-Boot,165,180,409,16,244,5,975,30,4
4613c093a12f4bb682ccfb494f1e36cc,11,0.7024691104888916,0.8942307829856873,FordB,1423,500,1886,1,463,2,3636,30,11
3a2c46150747485999907a33ca668b8a,11,0.9964221715927124,1.0,ALFA,253,40,421,12,168,2,2792,30,11
c5eb94bae3794b30bff5add01e234b9a,11,0.6081632375717163,0.6461538672447205,U-Boot,525,180,585,16,60,5,975,30,11
5776c3dfce704f3d8d9a50556cb672b5,11,0.9522727131843567,0.9542302489280701,FordA,936,500,2245,1,1309,2,3601,30,9
0e08cf39a5b84044aa8d63d59b34ec2d,11,0.7666666507720947,0.9532967209815979,FordB,845,500,1146,1,301,2,3636,30,9
aa114b02bd5f4fcebb94d37bfc882177,11,0.9570661783218384,0.9720670580863953,ALFA,257,40,319,12,62,2,2792,30,9
6d74b5eb9c054a32bca3b93fa815b28d,11,0.20408163964748383,0.20000000298023224,U-Boot,336,180,364,16,28,5,975,30,9
2748818aefad476988d5919c55b42582,11,0.9446969628334045,0.9445214867591858,FordA,1581,500,3192,1,1611,2,3601,30,7
5ddea78f501a421ea13f5dc9b9000fd1,11,0.8111110925674438,0.9436812996864319,FordB,389,500,657,1,268,2,3636,30,7
2149f3103fbd48cc99fc69c6484931c5,11,0.6547406315803528,0.6648044586181641,ALFA,140,40,145,12,5,2,2792,30,7
aa924fce098e4615aa3dae568af0e9a3,11,0.1469387710094452,0.1487179547548294,U-Boot,408,180,584,16,176,5,975,30,7
ad832b8b111f4c33bab6b4513b394572,11,0.8901515007019043,0.8918169140815735,FordA,1245,500,1434,1,189,2,3601,30,5
7b2068db3e2d45429c2a579b4debde11,11,0.7419753074645996,0.8777472376823425,FordB,1414,500,1987,1,573,2,3636,30,5
90ed3c16208e448a8978f4f9f751e983,11,0.9821109175682068,0.9748603105545044,ALFA,99,40,143,12,44,2,2792,30,5
fea4ae453b26448fb8bea3d3c7d50a99,11,0.9306122660636902,0.9230769276618958,U-Boot,111,180,253,16,142,5,975,30,5
a819e726a220469e998bd5ef9264ad5f,11,0.7643939256668091,0.7808598875999451,FordA,473,500,966,1,493,2,3601,30,3
14795ab338ff4f948d163a40b21f41ae,11,0.6777777671813965,0.848901093006134,FordB,708,500,1054,1,346,2,3636,30,3
a9da2f77ca2e43e89d9aa48798abd551,11,0.980322003364563,0.9860334992408752,ALFA,42,40,112,12,70,2,2792,30,3
36f8f4f968a8470f99eb1490b4388d93,11,0.9346938729286194,0.9333333373069763,U-Boot,54,180,214,16,160,5,975,30,3
