run_id,experiment_id,metrics.val_accuracy,metrics.test_accuracy,params.runtime_best_model_training,params.runtime_actual_seconds,params.series_length,params.num_channels,params.num_instances,params.num_models_estimated,params.num_epochs,params.runtime_model_tuning,params.dataset_name,params.num_classes
974c33dfe1464c729f996b228cd4cd4f,1,0.9450549483299255,0.7987654209136963,742,1172,500,1,3636,8,30,430,FordB,2
560700158dcb432c86d15f13ae8b6959,1,0.9445214867591858,0.9325757622718811,798,1488,500,1,3601,8,30,690,FordA,2
9876a4e23b6546c8a898cea54a756c39,1,0.9776536226272583,0.9677996635437012,107,178,40,12,2792,5,30,71,ALFA,2
945ceb75a41247689fcd0d3d35ad405f,1,0.1487179547548294,0.1469387710094452,26,239,180,16,975,5,30,213,U-Boot,5
7f8b124e58194beb95703ece053eeb91,1,0.8777472376823425,0.7555555701255798,555,786,500,1,3636,5,30,231,FordB,2
0d5ad17d2a264468a3b87af531957678,1,0.8987517356872559,0.9136363863945007,1102,1421,500,1,3601,5,30,319,FordA,2
021e51e00d1f44deb05a0733041c1aa3,1,0.7681564092636108,0.7370303869247437,120,331,40,12,2792,12,30,211,ALFA,2
345a77e5edce4caf9da639fd5706fefe,1,0.9589743614196777,0.9795918464660645,272,548,180,16,975,12,30,276,U-Boot,5
45b0bf01741e49e1bb85676a11b8945c,1,0.7122905254364014,0.6797853112220764,108,233,40,12,2792,9,30,125,ALFA,2
a06bb0bd351f48228d717584753499f2,1,0.10769230872392654,0.10204081982374191,67,346,180,16,975,9,30,279,U-Boot,5
0c7e07a0100b4901970695c240e8b362,1,0.5418994426727295,0.5205724239349365,193,237,40,12,2792,6,30,44,ALFA,2
92d1bf12c13b43e9a92e33d8d73103ca,1,0.7179487347602844,0.7102040648460388,116,526,180,16,975,6,30,410,U-Boot,5
7eb696e73feb481f8cd0fd5f43410b84,1,0.9285714030265808,0.8049382567405701,519,1318,500,1,3636,12,30,799,FordB,2
41ab098b3f8d4be58e3a1765c12600f8,1,0.8928571343421936,0.7148148417472839,849,1792,500,1,3636,10,30,943,FordB,2
0111e46b576e4b8c8c7d85479e7a196d,1,0.8969780206680298,0.719753086566925,732,948,500,1,3636,8,30,216,FordB,2
7974d976e98949e5bceb777b4c2ec165,1,0.9505494236946106,0.819753110408783,576,1243,500,1,3636,6,30,667,FordB,2
8a8340974f5e49fd8e0cf22c8d75987e,1,0.9532967209815979,0.8259259462356567,1145,1820,500,1,3636,4,30,675,FordB,2
