run_id,experiment_id,metrics.test_accuracy,metrics.val_accuracy,params.dataset_name,params.runtime_model_tuning,params.series_length,params.runtime_actual_seconds,params.num_channels,params.runtime_best_model_training,params.num_classes,params.num_instances,params.num_epochs,params.num_models_estimated
b228f7ed0300415ba71c0ce5c1fc9783,10,0.8204545378684998,0.8224688172340393,FordA,1400,500,1862,1,462,2,3601,30,14
a2edd4f6d04c44c19679829d94727691,10,0.6987654566764832,0.8804945349693298,FordB,1479,500,2746,1,1267,2,3636,30,14
5fdd8332404b4240bd5780e22ae47e8b,10,0.960644006729126,0.9385474920272827,ALFA,98,40,194,12,96,2,2792,30,14
f62107737ce0468eb982c2269397931d,10,0.20408163964748383,0.20000000298023224,U-Boot,735,180,779,16,44,5,975,30,14
3c833bcea5804b2b8e384a600cd74055,10,0.9484848380088806,0.9417475461959839,FordA,1147,500,2567,1,1420,2,3601,30,12
7a81d708a70e44e48442f576c4735db9,10,0.575308620929718,0.7527472376823425,FordB,925,500,1161,1,236,2,3636,30,12
ac1969bd3ed24de593f154bc90608836,10,0.41681572794914246,0.3938547372817993,ALFA,64,40,124,12,60,2,2792,30,12
0359f8b86c74473ea566e421e1f1671a,10,0.3224489688873291,0.32307693362236023,U-Boot,482,180,610,16,128,5,975,30,12
9b26851bd7174e04b316f6e95e339eb5,10,0.5159090757369995,0.5131761431694031,FordA,830,500,1706,1,876,2,3601,30,10
38f582b1c02b4181ae9cc781ebb9aff8,10,0.6641975045204163,0.8241758346557617,FordB,475,500,702,1,227,2,3636,30,10
ddd3804bdf2e4d98866deb18bd1c287d,10,0.3506261110305786,0.3240223526954651,ALFA,95,40,100,12,5,2,2792,30,10
c0ca6c8333f141a58c19555b8fa40a64,10,0.22040815651416779,0.22051282227039337,U-Boot,233,180,252,16,19,5,975,30,10
8b68973ebddc4488a0a4999635be1e41,10,0.8803030252456665,0.8945908546447754,FordA,897,500,1386,1,489,2,3601,30,8
32a83cec8efd423da4a8ccd59e7ad6af,10,0.7358024716377258,0.8791208863258362,FordB,227,500,524,1,297,2,3636,30,8
f82c37f85ac241afb4d4612337393f9e,10,0.9051878452301025,0.8770949840545654,ALFA,40,40,78,12,38,2,2792,30,8
cdaf84a7844f4492b976d2a5efa9c610,10,0.2612244784832001,0.2461538463830948,U-Boot,129,180,139,16,10,5,975,30,8
b671254125b14269842f3b10ba82d90f,10,0.8712121248245239,0.8515949845314026,FordA,715,500,1666,1,951,2,3601,30,8
e26201ccde384834b157b45519ec70a8,10,0.991055428981781,0.9888268113136292,ALFA,58,40,248,12,190,2,2792,30,6
d99b87c52a6d4de5a27e34146e497e4c,10,0.918181836605072,0.9084604978561401,FordA,392,500,974,1,582,2,3601,30,6
bbc7af973b704382a8226e1b4a3ca814,10,0.8719696998596191,0.8640776872634888,FordA,188,500,877,1,689,2,3601,30,6
be748b8faf444642872138139a90c0c0,10,0.9194990992546082,0.910614550113678,ALFA,32,40,62,12,30,2,2792,30,4
5e78956140b54640845f2def7f0d2714,10,0.9189394116401672,0.9153952598571777,FordA,56,500,410,1,354,2,3601,30,4
0ca29cff91804622943429577a135f66,10,0.5159090757369995,0.5131761431694031,FordA,291,500,766,1,475,2,3601,30,4
