run_id,experiment_id,metrics.val_accuracy,metrics.test_accuracy,params.series_length,params.num_epochs,params.runtime_best_model_training,params.runtime_model_tuning,params.num_channels,params.num_models_estimated,params.runtime_actual_seconds,params.runtime_userdefined_seconds,params.dataset_name,params.num_classes,params.num_instances
db28d64a698c44868d3d0bb58ba8e0a2,2,0.640625,0.5400000214576721,50,30,17,208,28,10,225,1020,FingerMovements,2,316
66e393d09c2a4ee5a791a96ae853e774,2,0.9642857313156128,0.8695651888847351,206,30,29,625,3,10,654,1020,Epilepsy,4,137
ff74bcba7c994307b6359c415c5a2cd3,2,0.8064516186714172,0.8026315569877625,30,30,1,233,6,10,234,1020,RacketSports,4,151
28514c9440f34718bcac625bc0eb4f92,2,0.699999988079071,0.6399999856948853,96,30,55,171,1,10,226,1020,ECG200,2,100
f801470d63664769b415123ae56000a7,2,0.5,0.5166666507720947,577,30,14,443,1,10,457,1020,Car,4,60
6f0acd88877c4994a7b916ab4aaf191e,2,0.792187511920929,0.645182192325592,96,30,392,338,1,7,730,1020,ElectricDevices,7,3200
973b11f14c274d6ab505e41f056b911e,2,0.10183299332857132,0.11305408924818039,36,30,24,187,6,11,211,840,LSST,13,2452
ed287f1b9b724ef4887920c008b6d2fd,2,0.8027777671813965,0.7307692170143127,80,30,140,173,1,11,313,840,PhalangesOutlinesCorrect,2,1800
ea26d46e922741b89a6e73ebb0085301,2,0.9166666865348816,0.71875,315,30,46,425,3,12,471,840,UWaveGestureLibrary,8,120
6685bd997730483f8dc90466cbb0b6f9,2,0.25,0.21621622145175934,400,30,66,1296,10,11,1362,840,HandMovementDirection,4,160
b54e9043d77a4480946617c354b5b4b4,2,0.9333333373069763,0.9666666388511658,15,30,3,88,1,11,91,840,SmoothSubspace,3,150
d2cfa67e4e4d4074b74f5c0968c3f371,2,0.642276406288147,0.6432432532310486,235,30,230,420,1,11,650,840,Strawberry,2,613
ae1451428f16455a966830ba3d2c68ca,2,0.9722222089767456,0.9944444298744202,144,30,9,449,1,11,458,840,PowerCons,2,180
eb6c0c7e862b404f825ca93f0c9d342e,2,0.824999988079071,0.5974025726318359,80,30,5,270,1,11,275,840,MiddlePhalanxOutlineAgeGroup,3,400
4fadd0d1521042bd8931bf7bc02d310c,2,0.9916201233863831,0.980322003364563,40,30,59,130,12,11,189,840,ALFA,2,2792
ea08a1755fec4c01b44eb25099be1368,2,0.9384615421295166,0.9591836929321289,180,30,240,803,16,12,1043,840,U-Boot,5,975
958425cc349a4fb1afb3dc0f5c5da4ac,2,0.546875,0.4300000071525574,50,30,19,236,28,11,255,840,FingerMovements,2,316
2c44c703f01346f1bcbdaf9d63078010,2,0.9285714030265808,0.8550724387168884,206,30,10,1108,3,12,1118,840,Epilepsy,4,137
5b9f84ba42be4c628a7f666f364c6b7c,2,0.9354838728904724,0.9342105388641357,30,30,10,144,6,11,154,840,RacketSports,4,151
b39995e927c34da6bbe6770ac736c6f9,2,0.3499999940395355,0.36000001430511475,96,30,2,159,1,11,161,840,ECG200,2,100
ede144604cc545a886d0fd1b78d98bec,2,0.5833333134651184,0.5666666626930237,577,30,4,238,1,11,242,840,Car,4,60
5e2356384c5e40059396f7d617ea9a84,2,0.6523809432983398,0.5270392894744873,96,30,7,371,1,11,378,840,ElectricDevices,7,2100
cbd9d95369d14d54b9141e031e3067dc,2,0.26680243015289307,0.25864171981811523,36,30,64,102,6,10,166,660,LSST,13,2452
97a0fff41ed74be7833aca53b283f6a4,2,0.800000011920929,0.7925407886505127,80,30,141,138,1,10,279,660,PhalangesOutlinesCorrect,2,1800
26e0cf495bbc448fb05bd5281d84d7d7,2,0.7083333134651184,0.7093750238418579,315,30,14,817,3,11,831,660,UWaveGestureLibrary,8,120
c80aa95ac45340fcbb7412d3af70748d,2,0.25,0.4054054021835327,400,30,8,393,10,10,401,660,HandMovementDirection,4,160
04c0540732b5411980be78717f23bb3c,2,0.8333333134651184,0.7599999904632568,15,30,2,90,1,11,92,660,SmoothSubspace,3,150
60e8dedff46141738c921e44c8a0387b,2,0.7967479825019836,0.7405405640602112,235,30,42,385,1,10,427,660,Strawberry,2,613
0f5ee8c6e03549949831690b576f3f6c,2,1.0,0.9944444298744202,144,30,48,268,1,10,316,660,PowerCons,2,180
d86062ee672445e9bda7341725bbd474,2,0.5874999761581421,0.18831168115139008,80,30,20,174,1,10,194,660,MiddlePhalanxOutlineAgeGroup,3,400
13660c990f174bd4914377c945a57a63,2,0.9301676154136658,0.930232584476471,40,30,11,86,12,10,97,660,ALFA,2,2792
d576cbbecf494098974b895d9a0c864c,2,0.8717948794364929,0.8897958993911743,180,30,199,225,16,11,424,660,U-Boot,5,975
80d8fa407f474b719745a806572fa198,2,0.59375,0.47999998927116394,50,30,4,242,28,11,246,660,FingerMovements,2,316
7620111a6da44bba9aa68e90fef29ff4,2,0.9642857313156128,0.9492753744125366,206,30,5,399,3,11,404,660,Epilepsy,4,137
5661d5a967664e2aa0dd3409ef5b20be,2,0.9032257795333862,0.8684210777282715,30,30,4,234,6,11,238,660,RacketSports,4,151
008e2f69660446289a119bf011709962,2,0.699999988079071,0.6399999856948853,96,30,16,129,1,10,145,660,ECG200,2,100
024681e488b54909b6dc30dddc3944ed,2,0.25,0.23333333432674408,577,30,31,247,1,10,278,660,Car,4,60
640ddeed790f42a99c134002631fdd20,2,0.2666666805744171,0.2423810213804245,96,30,5,338,1,10,343,660,ElectricDevices,7,2100
5a0001d5e76244238615f9aeb7e67b81,2,0.22199591994285583,0.21797478199005127,36,30,58,126,6,10,184,420,LSST,13,2452
1a433a5bfa7b47c4a1c6c5f5394e2f0b,2,0.7361111044883728,0.6748251914978027,80,30,180,96,1,10,276,420,PhalangesOutlinesCorrect,2,1800
2e3637b8963d439f9e003abfec9f7c78,2,0.875,0.78125,315,30,21,269,3,9,290,420,UWaveGestureLibrary,8,120
91f503dc6d0145b894fa3350e16292e5,2,0.5,0.3918918967247009,400,30,14,543,10,8,557,420,HandMovementDirection,4,160
77618a694f3c4db1a3c5aa9cc6d8ad98,2,0.9333333373069763,0.9466666579246521,15,30,2,78,1,10,80,420,SmoothSubspace,3,150
c8bf5d81a7f94c9da320b1bbb1fc39fe,2,0.8617886304855347,0.8945946097373962,235,30,16,195,1,7,211,420,Strawberry,2,613
126c9b23f95c4c3c8c404aa774f94cc4,2,1.0,0.9888888597488403,144,30,2,227,1,10,229,420,PowerCons,2,180
792ee4f642a743778359ebda9ad1398f,2,0.36250001192092896,0.5714285969734192,80,30,4,163,1,10,167,420,MiddlePhalanxOutlineAgeGroup,3,400
aff03a2d0a0843ed8a105f048cdfcfae,2,0.9525139927864075,0.9427549242973328,40,30,58,150,12,11,208,420,ALFA,2,2792
132e0b6938b443878b1113355918932e,2,0.9692307710647583,0.9591836929321289,180,30,355,616,16,8,971,420,U-Boot,5,975
5e4e982cb6974f6eaa1675a26067ba9c,2,0.625,0.5899999737739563,50,30,9,125,28,10,134,420,FingerMovements,2,316
93fc54e865054b67964738d82fdead17,2,0.9285714030265808,0.9202898740768433,206,30,6,422,3,9,428,420,Epilepsy,4,137
24806f50fa454ddda9cc9d6e3e7f35af,2,0.9354838728904724,0.8815789222717285,30,30,3,68,6,10,71,420,RacketSports,4,151
52063bf9050d4a10a674634e16a8f731,2,0.8500000238418579,0.7799999713897705,96,30,1,114,1,10,115,420,ECG200,2,100
62bd581528f149a59b9e6ffa6c279fa1,2,0.3333333432674408,0.21666666865348816,577,30,4,154,1,8,158,420,Car,4,60
1c156b8e3e2c4c2baf074a48d93d8701,2,0.7359374761581421,0.6176890134811401,96,30,192,289,1,7,481,420,ElectricDevices,7,3200
